"source","references","auth_year","auth_yr_id","dup_mark","sampling_year","Title","country","Region","latitude","longitude","Climate","temperature","precipitation","SOC","pH","bulk_density","total_N","Soil_tex","Clay","Silt","Sand","Growing_season","Rotation_type","Cultivar_name","Planting_method","Planting_date","Transplant_date","Harvest_date","growing_period","Crop_period","Measurement_period","experimental_start_date","experimental_end_date","preseason_water","water_regime","Water_depth_cm","N_amount","p2o5_amount","k2o_amount","organic_fert_type","organic_fert_amount","Organic_method","CH4_flux","CH4_seasonal","N2O","Yield","UFR","crop_id","exp_date"
"nikolaisen","Abao_2000","Abao_2000",1,2,NA,NA,"Philippines","Southeast Asia",14.15,121.25,"Tropical monsoon",26.9594879093103,429.477221623104,1.2,7,1.3225,0.12,"Fine",43,44,13,"Wet","Rice_Upland",NA,"Transplant",NA,NA,NA,100,NA,100,NA,NA,"Long drainage","Rainfed wet season",NA,90,NA,NA,"NONE",0,"NONE",NA,30.67,NA,6000,NA,NA,NA
"nikolaisen","Abao_2000","Abao_2000",2,2,NA,NA,"Philippines","Southeast Asia",14.15,121.25,"Tropical monsoon",26.9594879093103,429.477221623104,1.2,7,1.3225,0.12,"Fine",43,44,13,"Wet","Rice_Upland",NA,"Transplant",NA,NA,NA,100,NA,100,NA,NA,"Long drainage","Rainfed wet season",NA,90,NA,NA,"NONE",0,"NONE",NA,29.33,NA,5900,NA,NA,NA
"nikolaisen","Abao_2000","Abao_2000",3,2,NA,NA,"Philippines","Southeast Asia",14.15,121.25,"Tropical monsoon",26.9594879093103,429.477221623104,1.2,7,1.3225,0.12,"Fine",43,44,13,"Wet","Rice_Upland",NA,"Transplant",NA,NA,NA,98,NA,98,NA,NA,"Long drainage","Rainfed wet season",NA,90,NA,NA,"NONE",0,"NONE",NA,70.67,NA,5200,NA,NA,NA
"nikolaisen","Abao_2000","Abao_2000",4,2,NA,NA,"Philippines","Southeast Asia",14.15,121.25,"Tropical monsoon",26.9594879093103,429.477221623104,1.2,7,1.3225,0.12,"Fine",43,44,13,"Wet","Rice_Upland",NA,"Transplant",NA,NA,NA,98,NA,98,NA,NA,"Long drainage","Rainfed wet season",NA,90,NA,NA,"NONE",0,"NONE",NA,208,NA,5300,NA,NA,NA
"nikolaisen","Abao_2000","Abao_2000",5,2,NA,NA,"Philippines","Southeast Asia",14.15,121.25,"Tropical monsoon",26.9594879093103,429.477221623104,1.2,7,1.3225,0.12,"Fine",43,44,13,"Wet","Rice_Upland",NA,"Transplant",NA,NA,NA,98,NA,98,NA,NA,"Long drainage","Rainfed wet season",NA,30,NA,NA,"GM",3,"Incorporated",NA,74.67,NA,5400,NA,NA,NA
"nikolaisen","Abao_2000","Abao_2000",6,2,NA,NA,"Philippines","Southeast Asia",14.15,121.25,"Tropical monsoon",26.9594879093103,429.477221623104,1.2,7,1.3225,0.12,"Fine",43,44,13,"Wet","Rice_Upland",NA,"Transplant",NA,NA,NA,98,NA,98,NA,NA,"Long drainage","Rainfed wet season",NA,90,NA,NA,"Straw_On_Season",3,"Incorporated",NA,344,NA,5100,NA,NA,NA
"nikolaisen","Adhya_2000b","Adhya_2000",1,3,NA,NA,"India","South Asia",20.42,85.92,"Tropical savannah",26.8116759788889,362.624835762963,0.86,6.16,1.39583333333333,0.09,"UN",23.1696682464455,29.8566878980892,46.4503184713376,"Wet","Rice_Rice","Lalat","Transplant","25/06/1995","16/07/1995","02/11/1995",109,"109",NA,NA,NA,"Unknown","Rainfed wet season","3_15",60,NA,NA,"NONE",0,"NONE",NA,258.4,NA,2370,NA,NA,NA
"nikolaisen","Adhya_2000b","Adhya_2000",2,3,NA,NA,"India","South Asia",20.42,85.92,"Tropical savannah",26.8116759788889,362.624835762963,0.86,6.16,1.39583333333333,0.09,"UN",23.1696682464455,29.8566878980892,46.4503184713376,"Wet","Rice_Rice","Tulasi","Transplant","25/06/1995","16/07/1995","18/11/1995",125,"125",NA,NA,NA,"Unknown","Rainfed wet season","3_15",60,NA,NA,"NONE",0,"NONE",NA,225.8,NA,3150,NA,NA,NA
"nikolaisen","Adhya_2000b","Adhya_2000",3,3,NA,NA,"India","South Asia",20.42,85.92,"Tropical savannah",26.8116759788889,362.624835762963,0.86,6.16,1.39583333333333,0.09,"UN",23.1696682464455,29.8566878980892,46.4503184713376,"Wet","Rice_Rice","Gayatri","Transplant","25/06/1995","16/07/1995","02/11/1995",109,"109",NA,NA,NA,"Unknown","Rainfed wet season","3_15",60,NA,NA,"NONE",0,"NONE",NA,202.1,NA,3280,NA,NA,NA
"nikolaisen","Adhya_2000b","Adhya_2000",4,3,NA,NA,"India","South Asia",20.42,85.92,"Tropical savannah",26.8116759788889,362.624835762963,0.86,6.16,1.39583333333333,0.09,"UN",23.1696682464455,29.8566878980892,46.4503184713376,"Wet","Rice_Rice","IR72","Transplant","25/06/1995","16/07/1995","02/11/1995",109,"109",NA,NA,NA,"Unknown","Rainfed wet season","3_15",60,NA,NA,"NONE",0,"NONE",NA,444.1,NA,3850,NA,NA,NA
