country,site,log,lat,MAT,MAP,duration,clay,Ph,SOC,crop_rotation,treatment,N_rate,ch4,sd_t
Philippines,Los Baños,121.26,14.16,27.4,2115,S,,7,,RU,CF,90,2.3,
Philippines,Los Baños,121.26,14.16,27.4,2115,S,,7,,RU,CF,90,5.3,
Philippines,Los Baños,121.26,14.16,27.4,2115,S,,7,,RU,CF,90,5.6,
India,Cuttack,85.92,20.42,27.6,1500,S,25.9,6.16,8.6,DR,CF,60,19.38,
India,Cuttack,85.92,20.42,27.6,1500,S,25.9,6.16,8.6,DR,CF,60,16.935,
India,Cuttack,85.92,20.42,27.6,1500,S,25.9,6.16,8.6,DR,CF,60,15.1575,
India,Cuttack,85.92,20.42,27.6,1500,S,25.9,6.16,8.6,DR,CF,60,33.3075,
India,Cuttack,85.92,20.42,27.6,1500,S,25.9,6.16,8.6,DR,IF,60,31.725,
India,Cuttack,85.92,20.42,27.6,1500,S,25.9,6.16,8.6,DR,CF,60,13.9575,
India,Cuttack,85.92,20.42,27.6,1500,S,25.9,6.16,8.6,DR,IF,60,11.7975,
India,Cuttack,85.92,20.42,27.6,1500,M,25.9,6.16,8.6,DR,CF,120,16.935,
India,Cuttack,85.92,20.42,27.6,1500,S,25.9,6.16,6.6,DR,CF,120,107.4342857,
India,Cuttack,85.92,20.42,27.6,1500,S,25.9,6.16,6.6,DR,CF,120,54.69428571,
India,Cuttack,85.92,20.42,27.6,1500,S,25.9,6.16,6.6,DR,CF,120,70.31142857,
India,Cuttack,85.92,20.42,27.6,1500,S,25.9,6.16,6.6,DR,CF,120,55.22571429,
India,Sonitpur district,92.83,26.68,26,2300,S,30.24,5.3,9.4,DR,CF,40,84.3,0.45
India,Sonitpur district,92.83,26.68,26,2300,S,30.24,5.3,9.4,DR,CF,40,93.975,0.075
India,Sonitpur district,92.83,26.68,26,2300,S,30.24,5.3,9.4,DR,CF,40,97.5,0.15
India,Sonitpur district,92.83,26.68,26,2300,S,30.24,5.3,9.4,DR,CF,40,83.025,0.15
India,Sonitpur district,92.83,26.68,26,2300,S,30.24,5.3,9.4,DR,CF,40,88.275,0.15
India,Sonitpur district,92.83,26.68,26,2300,S,30.24,5.3,9.4,DR,CF,40,78,1.725
